Segment,Region,Sub-Category,Group,Period,Sales (USD),Profit (USD),Discount,Quantity
Corporate,West,Other Miscellaneous 6,Low-Value,Jan 2021,1,1,0,61
Home Office,East,Business Machines,High-Value,Jul 2020,206,25,0,60
Consumer,Central,Other Miscellaneous 1,Low-Value,Jan 2022,15,1,0,61
Consumer,South,Employees (Office Supplies),Low-Value,Jan 2022,50,6,0,61
Corporate,South,Furnishings,High-Value,Jan 2020,56,5,0,61
Home Office,East,Employees (Office Supplies),Low-Value,Jul 2022,47,16,0,63
Consumer,Central,Other Miscellaneous 3,Low-Value,Jan 2020,32,1,0,62
Consumer,Central,Accessories,High-Value,Jul 2022,151,15,0,65
Home Office,West,Accessories,High-Value,Jul 2021,190,19,0,62
Consumer,East,Copiers,High-Value,Jul 2022,146,21,0,60
Consumer,East,Other Miscellaneous 1,Low-Value,Jul 2022,46,7,10,59
Home Office,Central,Other Miscellaneous 1,Low-Value,Jul 2021,33,1,0,58
Consumer,West,Other Miscellaneous 3,Low-Value,Jan 2022,30,6,0,59
Corporate,Central,Labels,Low-Value,Jul 2022,24,1,0,62
Corporate,East,Fasteners,Low-Value,Jan 2020,62,9,0,61
Home Office,West,Appliances,High-Value,Jan 2021,91,12,0,62
Home Office,West,Appliances,High-Value,Jul 2021,109,8,0,61
Consumer,West,Other Miscellaneous 3,Low-Value,Jul 2021,35,4,0,59
Corporate,South,Paper,Mid-Value,Jul 2022,110,11,0,59
Corporate,South,Other Miscellaneous 3,Low-Value,Jul 2022,1,8,0,57
Consumer,East,Other Miscellaneous 4,Low-Value,Jul 2022,1,1,0,62
Home Office,South,Supplies,Mid-Value,Jul 2020,123,24,5,59
Corporate,West,Labels,Low-Value,Jan 2022,26,7,0,61
Corporate,East,Fasteners,Low-Value,Jul 2022,78,3,0,60
Consumer,West,Other Miscellaneous 1,Low-Value,Jan 2021,37,1,0,61
Corporate,South,Accessories,High-Value,Jul 2022,203,15,10,63
Home Office,South,Other Miscellaneous 2,Low-Value,Jan 2020,38,1,5,63
Corporate,Central,Bookcases,High-Value,Jan 2020,86,15,0,61
Corporate,East,Labels,Low-Value,Jul 2020,52,3,0,60
Corporate,West,Bookcases,High-Value,Jan 2020,118,10,0,62
Consumer,East,Other Miscellaneous 4,Low-Value,Jan 2021,7,2,0,61
Consumer,West,Other Miscellaneous 3,Low-Value,Jan 2021,3,1,0,61
Consumer,East,Paper,Mid-Value,Jan 2022,105,8,5,65
Consumer,West,Other Miscellaneous 5,Low-Value,Jan 2020,1,6,5,60
Consumer,West,Paper,Mid-Value,Jul 2020,85,10,5,58
Corporate,East,Employees (Office Supplies),Low-Value,Jan 2021,53,5,0,60
Corporate,South,Fasteners,Low-Value,Jan 2020,1,2,0,62
Consumer,Central,Labels,Low-Value,Jan 2022,21,3,0,60
Consumer,East,Copiers,High-Value,Jul 2022,154,15,0,58
Consumer,South,Art,Low-Value,Jan 2022,67,13,0,59
Corporate,East,Business Machines,High-Value,Jan 2022,202,24,0,62
Corporate,East,Appliances,High-Value,Jul 2021,113,17,0,60
Consumer,East,Art,Low-Value,Jul 2022,103,11,0,59
Consumer,Central,Other Miscellaneous 4,Low-Value,Jan 2021,2,1,0,59
Consumer,Central,Paper,Mid-Value,Jan 2021,92,8,0,60
Home Office,South,Other Miscellaneous 5,Low-Value,Jul 2021,2,1,5,58
Corporate,South,Other Miscellaneous 6,Low-Value,Jul 2020,1,1,0,63
Consumer,East,Accessories,High-Value,Jan 2020,177,18,0,61
Consumer,East,Furnishings,High-Value,Jan 2022,134,11,5,61
Consumer,East,Copiers,High-Value,Jul 2020,134,17,0,61
Home Office,South,Accessories,High-Value,Jan 2021,176,23,5,59
Consumer,East,Labels,Low-Value,Jan 2020,34,7,0,58
Home Office,West,Paper,Mid-Value,Jan 2021,77,6,0,58
Corporate,Central,Furnishings,High-Value,Jul 2022,89,4,0,60
Corporate,West,Other Miscellaneous 1,Low-Value,Jul 2021,32,8,0,60
Home Office,West,Paper,Mid-Value,Jan 2020,73,15,10,62
Consumer,Central,Fasteners,Low-Value,Jan 2022,51,5,0,58
Consumer,West,Employees (Office Supplies),Low-Value,Jan 2022,90,21,0,63
Home Office,East,Employees (Office Supplies),Low-Value,Jan 2022,77,15,0,56
Consumer,West,Art,Low-Value,Jul 2020,66,1,0,59
Consumer,West,Other Miscellaneous 1,Low-Value,Jul 2022,1,1,0,57
Home Office,Central,Employees (Office Supplies),Low-Value,Jul 2021,54,2,0,64
Corporate,West,Copiers,High-Value,Jan 2021,160,31,0,58
Home Office,West,Other Miscellaneous 2,Low-Value,Jul 2022,18,6,0,57
Corporate,East,Labels,Low-Value,Jan 2022,60,11,0,63
Corporate,West,Paper,Mid-Value,Jul 2022,95,6,0,61
Corporate,East,Other Miscellaneous 1,Low-Value,Jan 2022,19,1,0,62
Consumer,East,Other Miscellaneous 4,Low-Value,Jul 2021,1,4,0,59
Corporate,Central,Bookcases,High-Value,Jul 2022,88,16,5,60
Corporate,West,Employees (Office Supplies),Low-Value,Jan 2022,79,1,0,59
Consumer,West,Paper,Mid-Value,Jul 2021,112,14,0,56
Consumer,East,Copiers,High-Value,Jul 2021,130,23,0,59
Consumer,East,Furnishings,High-Value,Jan 2022,135,28,0,58
Consumer,East,Labels,Low-Value,Jan 2022,63,6,0,62
Consumer,East,Other Miscellaneous 1,Low-Value,Jul 2022,7,1,0,59
Consumer,South,Art,Low-Value,Jan 2022,73,9,0,60
Consumer,East,Bookcases,High-Value,Jan 2020,94,13,0,61
Home Office,West,Art,Low-Value,Jan 2022,80,8,0,60
Consumer,Central,Employees (Office Supplies),Low-Value,Jul 2020,59,10,0,59
Home Office,East,Copiers,High-Value,Jul 2022,124,20,0,60
Home Office,East,Other Miscellaneous 3,Low-Value,Jul 2021,41,8,0,65
Consumer,East,Business Machines,High-Value,Jan 2021,172,22,0,59
Corporate,Central,Other Miscellaneous 3,Low-Value,Jul 2021,38,3,0,62
Consumer,West,Bookcases,High-Value,Jan 2022,82,1,0,59
Corporate,Central,Other Miscellaneous 6,Low-Value,Jan 2021,10,1,0,60
Corporate,East,Bookcases,High-Value,Jul 2022,101,13,0,60
Home Office,West,Appliances,High-Value,Jan 2022,121,14,0,59
Consumer,Central,Paper,Mid-Value,Jul 2022,85,7,0,59
Consumer,Central,Fasteners,Low-Value,Jan 2022,44,1,0,57
Consumer,East,Labels,Low-Value,Jan 2022,55,5,0,58
Corporate,South,Labels,Low-Value,Jan 2021,57,4,0,60
Corporate,East,Supplies,Mid-Value,Jan 2022,89,7,0,58
Corporate,East,Other Miscellaneous 5,Low-Value,Jan 2022,1,1,0,61
Consumer,West,Other Miscellaneous 2,Low-Value,Jul 2021,53,16,0,59
Home Office,South,Business Machines,High-Value,Jul 2021,188,17,0,62
Home Office,East,Furnishings,High-Value,Jan 2022,120,15,0,62
Corporate,West,Appliances,High-Value,Jul 2022,109,8,0,59
Home Office,Central,Other Miscellaneous 1,Low-Value,Jul 2020,85,3,0,62
Corporate,East,Furnishings,High-Value,Jul 2021,106,23,0,58
Consumer,South,Furnishings,High-Value,Jan 2022,135,9,0,61
Corporate,South,Art,Low-Value,Jan 2022,50,1,0,60
Consumer,East,Fasteners,Low-Value,Jan 2022,71,19,0,61
Consumer,West,Other Miscellaneous 1,Low-Value,Jan 2022,35,5,0,63
Home Office,Central,Supplies,Mid-Value,Jul 2022,100,1,0,60
Corporate,West,Other Miscellaneous 6,Low-Value,Jul 2021,1,1,5,62
Consumer,East,Labels,Low-Value,Jan 2021,25,2,0,66
Corporate,West,Other Miscellaneous 3,Low-Value,Jan 2020,16,1,0,63
Corporate,East,Business Machines,High-Value,Jan 2021,174,21,0,61
Consumer,South,Other Miscellaneous 3,Low-Value,Jul 2022,26,10,0,62
Home Office,Central,Copiers,High-Value,Jul 2020,174,22,0,61
Consumer,South,Other Miscellaneous 1,Low-Value,Jan 2022,65,10,0,62
Consumer,East,Furnishings,High-Value,Jan 2020,151,20,0,60
Consumer,East,Other Miscellaneous 4,Low-Value,Jan 2022,8,1,0,61
Home Office,West,Copiers,High-Value,Jan 2022,150,16,10,59
Consumer,East,Other Miscellaneous 5,Low-Value,Jul 2021,1,9,0,62
Home Office,Central,Other Miscellaneous 6,Low-Value,Jul 2022,12,4,0,62
Corporate,West,Other Miscellaneous 2,Low-Value,Jan 2020,8,1,0,60
Corporate,Central,Other Miscellaneous 3,Low-Value,Jul 2020,1,1,0,62
Corporate,West,Business Machines,High-Value,Jul 2022,195,22,0,58
Home Office,Central,Copiers,High-Value,Jul 2021,139,20,0,60
Corporate,West,Bookcases,High-Value,Jul 2020,79,12,0,59
Consumer,West,Other Miscellaneous 1,Low-Value,Jan 2020,44,1,0,60
Corporate,South,Other Miscellaneous 4,Low-Value,Jul 2022,11,1,0,60
Home Office,East,Fasteners,Low-Value,Jan 2022,33,1,0,57
Corporate,East,Paper,Mid-Value,Jul 2021,117,10,0,61
Home Office,South,Furnishings,High-Value,Jan 2022,86,12,0,59
Home Office,West,Bookcases,High-Value,Jan 2021,103,11,0,59
Home Office,East,Employees (Office Supplies),Low-Value,Jan 2022,46,2,0,58
Home Office,South,Supplies,Mid-Value,Jul 2021,101,11,0,58
Consumer,East,Other Miscellaneous 6,Low-Value,Jul 2021,8,1,0,59
Home Office,Central,Art,Low-Value,Jul 2022,73,10,0,59
Consumer,East,Appliances,High-Value,Jan 2022,100,10,0,60
Corporate,East,Furnishings,High-Value,Jan 2021,101,11,5,59
Consumer,West,Other Miscellaneous 1,Low-Value,Jul 2022,42,1,0,62
Consumer,East,Labels,Low-Value,Jan 2022,81,1,0,58
Consumer,East,Art,Low-Value,Jul 2022,69,9,10,59
Home Office,East,Other Miscellaneous 4,Low-Value,Jul 2022,1,3,0,61
Home Office,West,Business Machines,High-Value,Jul 2022,152,16,0,57
Corporate,East,Employees (Office Supplies),Low-Value,Jan 2020,52,6,10,64
Consumer,West,Fasteners,Low-Value,Jan 2021,41,1,0,62
Consumer,East,Business Machines,High-Value,Jan 2021,173,20,0,62
Consumer,East,Other Miscellaneous 1,Low-Value,Jan 2021,31,1,0,61
Consumer,South,Other Miscellaneous 2,Low-Value,Jul 2021,24,1,0,59
Corporate,East,Other Miscellaneous 2,Low-Value,Jan 2022,15,4,0,62
Corporate,West,Paper,Mid-Value,Jan 2022,110,12,0,60
Home Office,Central,Appliances,High-Value,Jul 2020,91,19,0,57
Home Office,West,Other Miscellaneous 2,Low-Value,Jan 2021,30,5,0,61
Consumer,West,Employees (Office Supplies),Low-Value,Jul 2022,52,6,5,61
Corporate,Central,Other Miscellaneous 5,Low-Value,Jul 2021,16,1,0,56
Home Office,South,Other Miscellaneous 1,Low-Value,Jul 2022,52,7,0,57
Consumer,South,Fasteners,Low-Value,Jan 2021,55,7,0,63
Consumer,West,Labels,Low-Value,Jan 2022,55,2,0,58
Consumer,Central,Other Miscellaneous 2,Low-Value,Jan 2020,50,10,0,60
Consumer,Central,Other Miscellaneous 1,Low-Value,Jan 2020,16,2,0,60
Consumer,West,Accessories,High-Value,Jan 2021,188,20,0,60
Home Office,West,Other Miscellaneous 4,Low-Value,Jan 2022,1,5,0,62
Consumer,Central,Business Machines,High-Value,Jul 2021,138,19,0,58
Consumer,South,Other Miscellaneous 2,Low-Value,Jul 2021,39,9,0,59
Consumer,East,Other Miscellaneous 4,Low-Value,Jul 2022,30,1,0,62
Corporate,Central,Supplies,Mid-Value,Jan 2020,119,17,5,60
Home Office,East,Other Miscellaneous 1,Low-Value,Jan 2020,58,1,0,60
Corporate,East,Other Miscellaneous 6,Low-Value,Jul 2021,10,7,0,58
Consumer,East,Paper,Mid-Value,Jan 2022,111,13,0,60
Consumer,Central,Other Miscellaneous 2,Low-Value,Jan 2021,20,3,0,59
Consumer,South,Other Miscellaneous 1,Low-Value,Jul 2022,20,1,0,61
Consumer,Central,Other Miscellaneous 4,Low-Value,Jan 2022,18,3,0,60
Consumer,Central,Fasteners,Low-Value,Jul 2021,62,14,0,62
Home Office,West,Furnishings,High-Value,Jan 2021,110,15,5,60
Corporate,South,Other Miscellaneous 5,Low-Value,Jul 2021,22,10,5,63
Corporate,Central,Bookcases,High-Value,Jul 2020,120,15,0,60
Corporate,West,Other Miscellaneous 5,Low-Value,Jul 2021,1,4,5,63
Corporate,Central,Business Machines,High-Value,Jan 2021,201,19,0,59
Home Office,Central,Copiers,High-Value,Jan 2022,158,24,0,59
Consumer,West,Labels,Low-Value,Jan 2021,41,1,0,59
Consumer,Central,Employees (Office Supplies),Low-Value,Jan 2021,64,1,0,58
Consumer,West,Other Miscellaneous 3,Low-Value,Jan 2022,46,10,0,60
Consumer,West,Bookcases,High-Value,Jul 2022,110,8,0,61
Consumer,West,Accessories,High-Value,Jan 2021,151,20,0,57
Consumer,East,Employees (Office Supplies),Low-Value,Jul 2020,27,1,0,61
Corporate,South,Copiers,High-Value,Jan 2022,154,18,10,60
Home Office,West,Supplies,Mid-Value,Jul 2021,72,7,0,57
Home Office,Central,Labels,Low-Value,Jan 2021,27,5,0,59
Consumer,East,Paper,Mid-Value,Jan 2022,129,16,0,63
Home Office,East,Employees (Office Supplies),Low-Value,Jul 2021,78,4,5,60
Consumer,East,Employees (Office Supplies),Low-Value,Jan 2021,28,6,10,58
Corporate,East,Appliances,High-Value,Jan 2021,109,18,0,60
Consumer,South,Fasteners,Low-Value,Jul 2021,32,3,0,61
Consumer,West,Other Miscellaneous 4,Low-Value,Jan 2021,35,3,0,59
Corporate,West,Paper,Mid-Value,Jul 2021,103,11,0,63
Corporate,Central,Bookcases,High-Value,Jan 2021,92,8,0,59
Home Office,South,Other Miscellaneous 1,Low-Value,Jul 2022,74,2,0,61
Consumer,West,Fasteners,Low-Value,Jan 2021,58,13,0,61
Home Office,South,Other Miscellaneous 5,Low-Value,Jan 2020,1,1,0,58
Consumer,South,Paper,Mid-Value,Jan 2022,98,15,0,61
Consumer,West,Paper,Mid-Value,Jan 2021,89,12,0,61
Consumer,South,Employees (Office Supplies),Low-Value,Jan 2022,26,1,0,59
Corporate,West,Other Miscellaneous 3,Low-Value,Jan 2021,1,1,0,64
Consumer,East,Paper,Mid-Value,Jul 2021,78,10,0,60
Corporate,East,Supplies,Mid-Value,Jul 2021,112,23,0,58
Corporate,East,Other Miscellaneous 4,Low-Value,Jan 2021,33,9,0,60
Consumer,South,Other Miscellaneous 6,Low-Value,Jul 2022,9,1,0,57
Corporate,East,Other Miscellaneous 1,Low-Value,Jan 2021,26,5,0,60
Consumer,East,Employees (Office Supplies),Low-Value,Jan 2021,73,6,0,61
Corporate,East,Supplies,Mid-Value,Jan 2021,107,5,0,60
Consumer,Central,Business Machines,High-Value,Jan 2021,163,16,5,61
Home Office,East,Appliances,High-Value,Jul 2021,102,15,0,62
Corporate,East,Employees (Office Supplies),Low-Value,Jul 2020,46,1,0,60
Corporate,Central,Bookcases,High-Value,Jul 2020,112,19,0,62
Consumer,West,Employees (Office Supplies),Low-Value,Jul 2020,76,13,5,56
Consumer,South,Other Miscellaneous 2,Low-Value,Jan 2021,31,8,0,59
Corporate,Central,Other Miscellaneous 1,Low-Value,Jul 2020,16,1,0,62
Consumer,West,Business Machines,High-Value,Jul 2020,173,15,0,64
Consumer,East,Other Miscellaneous 3,Low-Value,Jan 2021,1,1,5,62
Corporate,Central,Business Machines,High-Value,Jan 2020,177,19,0,62
Corporate,East,Other Miscellaneous 3,Low-Value,Jan 2021,1,1,0,62
Home Office,West,Other Miscellaneous 6,Low-Value,Jan 2022,1,1,0,59
Corporate,East,Accessories,High-Value,Jul 2022,144,13,0,61
Corporate,West,Other Miscellaneous 3,Low-Value,Jan 2021,1,1,5,64
Consumer,East,Fasteners,Low-Value,Jan 2021,26,5,0,61
Corporate,East,Other Miscellaneous 1,Low-Value,Jul 2022,68,6,0,58
Corporate,East,Other Miscellaneous 4,Low-Value,Jan 2021,17,3,0,60
Consumer,East,Business Machines,High-Value,Jul 2021,157,21,0,60
Consumer,East,Art,Low-Value,Jan 2022,30,1,0,61
Consumer,South,Fasteners,Low-Value,Jul 2022,21,8,0,61
Consumer,East,Other Miscellaneous 5,Low-Value,Jul 2020,1,1,5,60
Corporate,Central,Other Miscellaneous 1,Low-Value,Jan 2022,3,10,0,62
Consumer,West,Other Miscellaneous 4,Low-Value,Jul 2020,6,1,5,62
Consumer,East,Other Miscellaneous 1,Low-Value,Jan 2021,32,2,0,60
Consumer,East,Other Miscellaneous 1,Low-Value,Jan 2021,46,1,0,61
Corporate,West,Copiers,High-Value,Jul 2022,163,15,0,59
Home Office,South,Other Miscellaneous 2,Low-Value,Jul 2022,35,7,0,59
Corporate,Central,Copiers,High-Value,Jan 2021,146,5,0,62
Home Office,Central,Employees (Office Supplies),Low-Value,Jul 2021,33,8,0,63
Consumer,West,Other Miscellaneous 5,Low-Value,Jul 2022,10,6,0,59
Consumer,West,Labels,Low-Value,Jan 2021,55,1,5,64
Corporate,West,Other Miscellaneous 3,Low-Value,Jul 2021,7,1,0,64
Consumer,West,Appliances,High-Value,Jan 2022,109,7,0,62
Corporate,South,Other Miscellaneous 3,Low-Value,Jul 2022,16,6,5,62
Consumer,Central,Labels,Low-Value,Jul 2021,13,3,5,64
Home Office,East,Other Miscellaneous 6,Low-Value,Jul 2022,2,1,10,60
Consumer,East,Appliances,High-Value,Jul 2020,73,9,0,58
Corporate,East,Accessories,High-Value,Jul 2022,175,20,0,63
Consumer,West,Business Machines,High-Value,Jan 2020,195,21,0,61
Corporate,East,Other Miscellaneous 5,Low-Value,Jul 2022,26,8,0,62
Corporate,West,Paper,Mid-Value,Jul 2022,87,14,5,61
Home Office,West,Other Miscellaneous 1,Low-Value,Jul 2022,52,9,5,61
Corporate,East,Bookcases,High-Value,Jul 2022,108,6,5,61
Corporate,South,Paper,Mid-Value,Jul 2021,90,11,0,64
Consumer,South,Other Miscellaneous 3,Low-Value,Jan 2022,10,1,0,62
Corporate,East,Other Miscellaneous 3,Low-Value,Jul 2020,1,3,0,59
Home Office,East,Labels,Low-Value,Jan 2022,24,1,5,61
Corporate,South,Business Machines,High-Value,Jul 2022,129,11,10,60
Corporate,West,Labels,Low-Value,Jan 2022,67,10,0,61
Corporate,East,Furnishings,High-Value,Jul 2022,94,6,0,57
Consumer,East,Furnishings,High-Value,Jan 2022,100,15,0,60
Home Office,West,Accessories,High-Value,Jul 2021,115,11,0,61
Consumer,West,Accessories,High-Value,Jan 2020,147,21,0,62
Corporate,East,Other Miscellaneous 1,Low-Value,Jan 2022,23,4,10,58
Corporate,West,Copiers,High-Value,Jan 2022,135,14,10,58
Consumer,Central,Copiers,High-Value,Jan 2021,150,25,0,56
Consumer,East,Other Miscellaneous 5,Low-Value,Jul 2020,20,2,0,57
Corporate,West,Art,Low-Value,Jan 2021,88,12,0,60
Home Office,East,Business Machines,High-Value,Jul 2020,187,18,0,63
Consumer,South,Business Machines,High-Value,Jul 2022,181,23,0,57
Corporate,West,Other Miscellaneous 3,Low-Value,Jan 2020,27,3,0,57
Corporate,Central,Accessories,High-Value,Jul 2021,152,17,0,60
Home Office,East,Other Miscellaneous 2,Low-Value,Jan 2022,14,4,0,61
Consumer,South,Other Miscellaneous 5,Low-Value,Jan 2021,1,1,0,59
Consumer,West,Employees (Office Supplies),Low-Value,Jul 2022,38,12,5,59
Consumer,South,Bookcases,High-Value,Jul 2022,96,16,0,61
Corporate,West,Other Miscellaneous 2,Low-Value,Jul 2020,1,1,0,64
Corporate,West,Supplies,Mid-Value,Jul 2021,63,11,0,60
Consumer,East,Art,Low-Value,Jul 2022,81,3,0,61
Consumer,South,Other Miscellaneous 6,Low-Value,Jan 2022,1,1,0,59
Home Office,Central,Accessories,High-Value,Jan 2022,180,27,0,58
Corporate,East,Fasteners,Low-Value,Jan 2022,43,3,0,61
Consumer,South,Labels,Low-Value,Jul 2020,12,5,0,61
Consumer,West,Other Miscellaneous 6,Low-Value,Jul 2022,1,1,0,59
Consumer,West,Bookcases,High-Value,Jan 2021,148,10,0,56
Consumer,West,Furnishings,High-Value,Jan 2022,93,11,0,61
Consumer,Central,Other Miscellaneous 1,Low-Value,Jan 2022,43,8,0,57
Corporate,East,Other Miscellaneous 6,Low-Value,Jan 2022,15,1,0,64
Corporate,West,Business Machines,High-Value,Jan 2020,187,25,0,59
Home Office,West,Employees (Office Supplies),Low-Value,Jul 2022,27,9,0,60
Home Office,West,Supplies,Mid-Value,Jul 2020,108,3,0,64
Home Office,South,Other Miscellaneous 1,Low-Value,Jul 2020,47,1,0,63
Corporate,East,Paper,Mid-Value,Jan 2022,98,9,0,62
Consumer,East,Business Machines,High-Value,Jan 2021,161,20,0,60
Consumer,West,Other Miscellaneous 1,Low-Value,Jan 2020,29,1,0,60
Corporate,Central,Employees (Office Supplies),Low-Value,Jul 2022,48,4,0,61
Home Office,East,Other Miscellaneous 5,Low-Value,Jan 2021,22,2,0,61
Corporate,East,Other Miscellaneous 6,Low-Value,Jul 2021,40,5,0,61
Consumer,East,Business Machines,High-Value,Jan 2022,174,22,0,58
Home Office,West,Bookcases,High-Value,Jul 2022,106,7,5,62
Home Office,South,Labels,Low-Value,Jul 2021,34,7,0,61
Corporate,South,Labels,Low-Value,Jan 2022,42,14,0,62
Consumer,Central,Other Miscellaneous 5,Low-Value,Jul 2020,1,3,0,62
Home Office,West,Furnishings,High-Value,Jul 2022,80,3,0,60
Consumer,South,Other Miscellaneous 1,Low-Value,Jan 2022,23,1,0,63
Corporate,West,Business Machines,High-Value,Jan 2021,191,15,5,58
Corporate,West,Other Miscellaneous 3,Low-Value,Jul 2022,22,6,0,61
Corporate,East,Fasteners,Low-Value,Jan 2020,46,12,0,60
Corporate,West,Accessories,High-Value,Jul 2021,171,25,0,60
Corporate,East,Bookcases,High-Value,Jul 2022,159,25,5,57
Corporate,Central,Paper,Mid-Value,Jan 2021,58,11,0,56
Home Office,Central,Other Miscellaneous 2,Low-Value,Jul 2021,56,3,0,59
Consumer,West,Paper,Mid-Value,Jan 2021,86,6,0,58
Home Office,West,Accessories,High-Value,Jul 2021,146,22,0,59
Corporate,West,Supplies,Mid-Value,Jul 2020,80,7,0,60
Consumer,East,Copiers,High-Value,Jan 2021,151,17,0,61
Consumer,South,Accessories,High-Value,Jul 2022,133,20,0,61
Corporate,East,Furnishings,High-Value,Jan 2020,124,26,0,60
Consumer,East,Furnishings,High-Value,Jul 2020,160,14,0,62
Consumer,Central,Art,Low-Value,Jul 2022,97,13,0,60
Consumer,West,Other Miscellaneous 2,Low-Value,Jul 2022,40,1,0,61
Home Office,West,Other Miscellaneous 5,Low-Value,Jan 2022,1,7,0,57
Consumer,East,Other Miscellaneous 3,Low-Value,Jan 2020,64,5,0,61
Consumer,West,Other Miscellaneous 4,Low-Value,Jan 2021,1,7,0,63
Corporate,West,Appliances,High-Value,Jul 2022,118,9,0,59
Home Office,Central,Accessories,High-Value,Jan 2021,156,15,0,63
Consumer,East,Other Miscellaneous 4,Low-Value,Jan 2021,1,5,5,61
Consumer,Central,Other Miscellaneous 3,Low-Value,Jan 2021,23,17,0,61
Home Office,Central,Other Miscellaneous 4,Low-Value,Jan 2021,1,1,10,61
Corporate,South,Other Miscellaneous 4,Low-Value,Jul 2020,22,1,5,61
Consumer,South,Art,Low-Value,Jul 2022,86,4,0,58
Consumer,West,Fasteners,Low-Value,Jan 2020,92,1,5,61
Consumer,East,Other Miscellaneous 2,Low-Value,Jan 2022,13,7,0,63
Consumer,West,Furnishings,High-Value,Jan 2022,66,5,0,59
Consumer,Central,Other Miscellaneous 1,Low-Value,Jul 2020,61,9,0,58
Home Office,West,Supplies,Mid-Value,Jan 2020,74,3,0,63
Consumer,West,Appliances,High-Value,Jul 2020,105,14,0,60
Consumer,South,Other Miscellaneous 1,Low-Value,Jan 2020,23,5,0,60
Consumer,West,Accessories,High-Value,Jan 2021,162,8,0,62
Corporate,East,Supplies,Mid-Value,Jan 2021,61,2,0,60
Corporate,East,Other Miscellaneous 2,Low-Value,Jan 2022,30,3,0,60
Corporate,Central,Accessories,High-Value,Jul 2020,180,25,0,62
Corporate,East,Business Machines,High-Value,Jul 2020,177,14,0,58
Consumer,South,Business Machines,High-Value,Jan 2022,180,20,0,57
Home Office,South,Other Miscellaneous 3,Low-Value,Jul 2022,1,1,0,60
Consumer,East,Bookcases,High-Value,Jan 2021,115,17,5,61
Home Office,South,Copiers,High-Value,Jul 2021,146,17,0,57
Consumer,Central,Other Miscellaneous 6,Low-Value,Jul 2022,1,1,0,60
Consumer,West,Accessories,High-Value,Jul 2021,165,14,0,60
Consumer,Central,Accessories,High-Value,Jul 2021,165,19,0,62
Consumer,Central,Bookcases,High-Value,Jan 2020,62,3,0,60
Consumer,West,Supplies,Mid-Value,Jan 2022,136,18,0,59
Home Office,West,Other Miscellaneous 4,Low-Value,Jan 2022,1,3,10,61
Home Office,West,Accessories,High-Value,Jul 2020,173,17,0,57
Consumer,South,Business Machines,High-Value,Jan 2020,174,18,0,61
Consumer,West,Other Miscellaneous 2,Low-Value,Jul 2022,48,2,0,57
Corporate,West,Other Miscellaneous 3,Low-Value,Jul 2021,6,1,0,61
Consumer,Central,Employees (Office Supplies),Low-Value,Jan 2020,64,2,0,62
Home Office,West,Bookcases,High-Value,Jan 2022,83,5,0,61
Consumer,East,Labels,Low-Value,Jan 2022,32,8,0,61
Consumer,South,Other Miscellaneous 3,Low-Value,Jul 2022,34,2,0,62
Consumer,East,Other Miscellaneous 3,Low-Value,Jan 2020,22,1,0,61
Consumer,Central,Appliances,High-Value,Jan 2022,107,6,0,58
Corporate,East,Labels,Low-Value,Jan 2022,49,1,0,61
Consumer,South,Art,Low-Value,Jul 2021,83,10,0,65
Consumer,West,Other Miscellaneous 4,Low-Value,Jan 2021,1,3,0,62
Consumer,East,Supplies,Mid-Value,Jul 2020,98,10,0,63
Corporate,South,Labels,Low-Value,Jul 2022,32,1,0,59
Consumer,West,Copiers,High-Value,Jan 2021,158,20,0,59
Home Office,South,Bookcases,High-Value,Jul 2021,82,10,0,61
Corporate,West,Other Miscellaneous 5,Low-Value,Jan 2020,24,1,5,57
Corporate,Central,Business Machines,High-Value,Jan 2022,216,32,0,64
Home Office,East,Supplies,Mid-Value,Jul 2022,101,9,0,62
Consumer,East,Other Miscellaneous 3,Low-Value,Jan 2022,1,1,0,62
Consumer,West,Appliances,High-Value,Jan 2021,95,11,10,62
Consumer,Central,Other Miscellaneous 4,Low-Value,Jul 2021,36,1,0,63
Home Office,West,Other Miscellaneous 5,Low-Value,Jul 2020,41,10,0,61
Home Office,East,Appliances,High-Value,Jan 2021,114,22,0,57
Corporate,Central,Art,Low-Value,Jan 2020,90,1,0,60
Home Office,South,Employees (Office Supplies),Low-Value,Jan 2020,36,1,10,63
Consumer,Central,Other Miscellaneous 1,Low-Value,Jan 2022,42,1,0,64
Consumer,West,Copiers,High-Value,Jul 2020,129,27,0,61
Consumer,East,Other Miscellaneous 4,Low-Value,Jan 2022,23,1,0,59
Consumer,East,Labels,Low-Value,Jan 2020,36,3,0,61
Consumer,East,Bookcases,High-Value,Jul 2022,97,14,0,61
Consumer,East,Furnishings,High-Value,Jul 2021,92,8,0,58
Consumer,South,Labels,Low-Value,Jul 2021,55,10,0,61
Consumer,Central,Business Machines,High-Value,Jul 2021,193,20,0,62
Corporate,East,Fasteners,Low-Value,Jan 2022,52,3,0,60
Home Office,East,Copiers,High-Value,Jan 2020,149,29,0,59
Corporate,East,Art,Low-Value,Jan 2020,75,10,0,59
Consumer,West,Business Machines,High-Value,Jan 2022,180,23,0,63
Corporate,West,Appliances,High-Value,Jul 2021,103,21,0,61
Consumer,South,Other Miscellaneous 1,Low-Value,Jan 2020,37,1,5,59
Consumer,South,Copiers,High-Value,Jul 2022,176,19,0,60
